,,Reference,,,,,REFS=3,,,,,REFS=2,,,,,REFS=1,,,,,CUDepth=3,,,,,CUDepth=2,,,,,CUDepth=1,,,,,AMP=0,,,,,FME=2,,,,,FME=1,,,,,FME=0,,,,,HAD=0,,,,,SR=32,,,,,SR=8,,,,,SR=0,,,,,TUDepth=2,,,,,TUDepth=1,,,,,TestRect=0,,,,,RDOQ=0,,,,,BIPRED=2,,,,,BIPRED=0,,,,,LOWER_BOUND,,,,
Sequence,QP,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time,Bitrate,PSNR-Y,PSNR-U,PSNR-V,Enc. Time
BQSquare,22,1730.55,38.6662,42.9101,43.4966,178.904,1810.05,38.5609,42.7741,43.3259,158.066,1980.03,38.4308,42.6009,43.179,141.625,2274.84,38.2675,42.3662,42.9815,126.909,1783.9125,38.5705,42.8068,43.3411,132.17,2003.1975,38.0603,42.6804,43.249,77.217,2468.1,37.5608,42.1594,42.781,38.795,1744.395,38.6527,42.9151,43.4966,146.471,2188.275,38.4602,42.6242,43.2183,158.467,1947.4425,38.5927,42.8,43.4216,147.674,2139.8325,38.4807,42.6892,43.2473,129.057,1785.675,38.7591,42.9462,43.5778,164.752,1727.925,38.6614,42.9049,43.5041,172.349,1730.67,38.6574,42.8781,43.4715,171.679,1728.225,38.6615,42.9009,43.5054,167.218,1733.2425,38.625,42.8734,43.4861,153.871,1721.025,38.4336,42.8603,43.5026,134.37,1752.5025,38.6291,42.8821,43.4903,120.361,1745.13,38.5669,42.8571,43.4181,151.268,1727.6475,38.6574,42.8999,43.4857,166.267,1739.4675,38.6558,42.8973,43.5144,164.3,6186.4575,36.2978,41.2437,41.6598,11.544
BQSquare,27,674.475,34.5568,40.7901,41.3597,140.253,696.945,34.4088,40.7277,41.3261,118.598,766.1475,34.1389,40.5503,41.0707,101.125,964.2,33.764,40.2589,40.8607,86.955,701.115,34.4179,40.7964,41.2991,104.994,776.7825,33.8552,40.6418,41.2104,60.672,988.71,33.1483,40.3471,40.7962,31.37,676.83,34.5461,40.7666,41.3606,114.248,919.425,33.9946,40.5527,41.1481,119.539,750.78,34.305,40.7322,41.3107,108.157,881.775,34.0625,40.5958,41.1478,90.933,692.355,34.593,40.8014,41.3751,125.867,673.14,34.5532,40.7958,41.3682,133.727,672.8025,34.5571,40.7963,41.3677,132.756,674.4,34.5692,40.7891,41.3443,129.243,672.9825,34.5261,40.7919,41.3445,122.252,668.475,34.4291,40.7315,41.3374,108.998,685.1775,34.5091,40.7681,41.3353,84.175,672.3825,34.4662,40.7094,41.3508,121.63,673.4175,34.5542,40.7731,41.3256,127.903,674.3025,34.5537,40.7782,41.3877,125.546,3528.825,31.6291,39.5994,39.8176,9.074
BQSquare,32,302.085,31.1963,39.2241,39.6884,118.734,316.5825,31.1216,39.1746,39.6443,98.398,340.335,30.9415,39.13,39.5503,80.993,449.37,30.5415,38.9005,39.2225,64.962,317.4,31.0838,39.3227,39.7781,90.802,344.0925,30.4896,39.3761,39.8378,51.456,427.7925,29.6799,39.0696,39.3957,26.286,305.655,31.2068,39.2015,39.6822,99.756,412.7625,30.6007,39.1655,39.5612,96.001,331.7325,31.0074,39.2237,39.6678,86.755,400.4625,30.661,39.2082,39.5993,68.973,313.485,31.244,39.2379,39.6844,103.968,302.385,31.2186,39.2187,39.6972,112.618,303.075,31.2156,39.2095,39.6777,111.961,302.925,31.2063,39.224,39.6645,108.618,303.0225,31.1808,39.1982,39.6693,105.651,297.2175,31.0922,39.1595,39.7006,95.505,309.2475,31.1592,39.2286,39.6728,63.747,305.1525,31.1818,39.2976,39.6159,105.082,302.6175,31.2095,39.2224,39.7441,107.535,303.375,31.2079,39.2359,39.7081,105.337,1577.4225,27.1619,38.3642,38.6251,5.508
BQSquare,37,139.605,28.0278,38.2769,38.754,104.134,141.03,27.876,38.2872,38.7674,84.804,147.465,27.7164,38.3068,38.7566,68.385,193.3875,27.3721,38.0195,38.305,53.357,144.675,27.7993,38.4381,38.795,81.261,152.28,27.2958,38.3191,38.8546,46.427,177.57,26.4417,38.2159,38.2417,23.758,140.5725,28.0176,38.2991,38.7436,91.734,187.08,27.4401,38.29,38.6621,83.558,148.5075,27.7979,38.2454,38.7674,74.338,183.84,27.4743,38.3432,38.673,56.485,143.85,28.0432,38.3202,38.784,90.017,138.6675,28.0278,38.2849,38.7347,98.002,138.81,28.0227,38.2628,38.7344,97.263,139.2975,27.9927,38.2795,38.7151,93.763,138.6825,28.0069,38.2786,38.7308,93.366,138.3825,27.9569,38.2593,38.7445,85.259,140.4525,27.9569,38.25,38.7201,49.027,141.105,28.032,38.1557,38.4798,93.162,139.4325,28.027,38.2931,38.7844,93.278,139.7025,28.0352,38.3119,38.7589,91.123,645.2325,24.0293,37.3898,37.7151,3.336
BlowingBubbles,22,1515.5063,38.4715,41.3092,42.867,188.209,1532.625,38.465,41.2886,42.8174,165.254,1550.9438,38.4329,41.2831,42.7946,144.219,1609.4188,38.3779,41.2154,42.6996,124.084,1576.3125,38.3948,41.258,42.7348,137.105,1757.7563,38.11,41.1908,42.6249,77.568,2170.125,37.8304,40.8156,42.178,39.002,1526.0375,38.4688,41.2894,42.8352,153.645,1713.125,38.3209,41.2606,42.7424,163.439,1580.75,38.4187,41.2895,42.8236,154.794,1703.0063,38.3317,41.2436,42.7433,135.051,1568.1625,38.5448,41.3807,42.9118,176.646,1517.5625,38.4693,41.2931,42.8536,182.9,1519.0125,38.4773,41.3184,42.8417,179.81,1528.8063,38.4729,41.327,42.8608,175.027,1518.6313,38.4566,41.3108,42.8322,164.836,1520.3375,38.3872,41.3088,42.8619,147.335,1543.5875,38.4416,41.2891,42.85,135.044,1548.6188,38.3755,41.1997,42.6803,166.398,1521.1063,38.4755,41.3319,42.8413,182.361,1523.3813,38.472,41.3193,42.8436,178.78,4101.6875,37.1157,40.202,41.3864,10.581
BlowingBubbles,27,667.6375,34.917,38.8477,40.2362,153.143,672.7125,34.8915,38.845,40.1765,132.32,684.075,34.8588,38.7909,40.1841,112.183,711.9813,34.7551,38.7172,40.0505,92.672,691.2625,34.8148,38.8038,40.1606,115.486,762.9313,34.4647,38.7027,40.0304,65.123,919.1562,33.955,38.3452,39.6423,33.618,673.1438,34.9072,38.8288,40.2533,127.029,737.0438,34.6575,38.7884,40.1755,128.133,684.1313,34.8171,38.8269,40.2261,121.133,732.7,34.6668,38.8007,40.152,101.123,688.2375,34.9648,38.8857,40.2891,142.379,665.0625,34.9168,38.8383,40.2602,148.86,667.8438,34.9206,38.871,40.2439,145.774,671.9,34.91,38.8345,40.2173,141.129,665.7875,34.8965,38.8194,40.2173,137.333,665.725,34.8422,38.8096,40.2198,125.737,678.0375,34.8757,38.8028,40.2446,102.001,689.4125,34.8764,38.7927,40.1869,139.821,666.4,34.9105,38.8375,40.2802,148.12,668.7938,34.9266,38.819,40.2184,145.123,1975.825,33.2593,37.7154,38.8334,8.478
BlowingBubbles,32,301.1062,31.7618,36.8478,38.2474,128.576,303.9625,31.7244,36.8604,38.2344,108.775,307.5063,31.6786,36.8428,38.1731,90.186,318.3313,31.5957,36.7368,38.1322,71.64,308.7812,31.6695,36.8801,38.1876,98.96,329.05,31.3444,36.7617,38.0279,56.078,375.8188,30.8152,36.4066,37.5961,29.009,304.3875,31.7514,36.8693,38.235,110.053,323.4,31.4775,36.8068,38.1673,104.087,306,31.6852,36.8641,38.2468,97.641,322.0125,31.5074,36.8209,38.2052,77.971,310.4813,31.7967,36.8847,38.236,118.103,301.3063,31.763,36.8771,38.2392,124.612,301.7812,31.7555,36.8943,38.2107,122.085,305.0938,31.7481,36.8643,38.2426,116.823,301.6813,31.7499,36.8412,38.205,117.285,300.1375,31.7004,36.8773,38.2473,109.293,305.9563,31.7283,36.8803,38.1857,77.306,313.8313,31.7543,36.8475,38.1823,120.677,300.3938,31.755,36.8805,38.2527,123.745,302.9563,31.76,36.8803,38.2354,121.283,776.6063,29.7231,35.7791,36.7711,6.134
BlowingBubbles,37,142.2188,29.0577,35.4914,36.7406,111.536,142.675,29.0303,35.4623,36.7759,92.862,144.4125,28.9933,35.4206,36.709,75.671,147.5312,28.9118,35.4272,36.6758,58.023,142.3563,28.9937,35.5116,36.7613,87.504,147.6312,28.7564,35.3736,36.5736,50.214,160.8625,28.3533,35.1196,36.1948,25.971,143.3438,29.052,35.468,36.7795,99.499,146.975,28.8561,35.4225,36.7075,88.036,142.6125,29.0148,35.4707,36.7235,82.695,146.7313,28.8404,35.4155,36.7625,63.139,144.6312,29.0647,35.4866,36.8377,101.66,143.0312,29.0705,35.4843,36.7336,108.086,142.175,29.0634,35.406,36.7336,104.797,143.0125,29.0107,35.4825,36.7295,101.569,142.0625,29.0375,35.4597,36.7697,103.112,141.1,29.0329,35.4403,36.7813,96.056,142.2812,29.0122,35.4611,36.6909,59.659,146.4437,29.0461,35.534,36.7108,106.418,142.6438,29.06,35.4885,36.7632,106.751,141.375,29.0384,35.4412,36.7544,103.746,294.0563,27.1121,34.5575,35.5031,4.458
Traffic,22,14551.035,41.6306,41.4585,43.9221,7090.541,14754.5925,41.6024,41.4329,43.8832,6115.429,15140.5537,41.5494,41.3879,43.8409,5154.062,15922.1775,41.4698,41.3288,43.7456,4222.086,14925.195,41.5949,41.4422,43.8739,5431.592,15644.4525,41.3584,41.3963,43.7893,3268.17,17818.9012,41.0886,41.1173,43.4143,1702.174,14643.0712,41.6222,41.4512,43.9116,6802.429,16819.425,41.5006,41.4762,43.9011,5844.166,15107.0475,41.5919,41.474,43.9157,5399.314,16664.01,41.5066,41.4805,43.9072,4362.638,15194.0475,41.6771,41.5073,43.9514,6512.416,14545.9837,41.631,41.4627,43.919,7010.815,14553.18,41.6298,41.4563,43.9201,6967.013,14756.6062,41.6246,41.4551,43.9087,6713.669,14481.1012,41.6048,41.4441,43.9027,6404.034,14337.1762,41.5395,41.4288,43.891,5885.179,14687.9325,41.608,41.4486,43.9053,4238.507,14535.0863,41.5623,41.409,43.8274,6505.073,14547.285,41.6294,41.4607,43.92,6788.299,14570.8012,41.6268,41.4561,43.9173,6662.65,40611.8737,40.4255,40.7834,42.8858,341.358
