,,Reference,,,,,REFS=3,,,,,REFS=2,,,,,REFS=1,,,,,CUDepth=3,,,,,CUDepth=2,,,,,CUDepth=1,,,,,AMP=0,,,,,FME=2,,,,,FME=1,,,,,FME=0,,,,,HAD=0,,,,,SR=32,,,,,SR=8,,,,,SR=0,,,,,TUDepth=2,,,,,TUDepth=1,,,,,TestRect=0,,,,,RDOQ=0,,,,,BIPRED=2,,,,,BIPRED=0,,,,,LOWER_BOUND,,,,
Traffic,27,5229.2063,38.7686,39.4698,41.8576,5881.935,5302.0875,38.7372,39.4448,41.8337,4945.43,5387.5763,38.6896,39.405,41.7927,4021.985,5612.2987,38.5956,39.3447,41.7154,3122.959,5373.4163,38.7283,39.4717,41.8451,4579.483,5711.52,38.5524,39.4123,41.7536,2809.047,6693.4688,38.2384,39.1874,41.4701,1493.048,5288.2087,38.7588,39.4531,41.8495,5967.962,5979.3412,38.5232,39.4907,41.8602,4613.108,5382.6562,38.7079,39.4787,41.8601,4233.451,5901.6262,38.541,39.5011,41.8572,3195.832,5398.9425,38.7968,39.4974,41.8857,5298.71,5236.8938,38.7723,39.47,41.8594,5792.557,5236.7587,38.767,39.4645,41.8576,5740.782,5368.035,38.7567,39.4586,41.8446,5522.232,5214.8512,38.7561,39.4515,41.8492,5390.232,5170.08,38.7204,39.4323,41.8309,5054.748,5276.1112,38.7449,39.4582,41.8419,3057.174,5261.61,38.7211,39.4549,41.8228,5533.038,5235.72,38.7681,39.4709,41.8603,5576.679,5238.3525,38.7632,39.4642,41.8576,5457.981,20223.9862,37.4199,38.6966,40.8169,248.703
Traffic,32,2292.2025,36.0175,37.999,40.3254,5229.628,2313.8175,35.9873,37.9831,40.306,4337.939,2339.5163,35.9535,37.9587,40.2735,3448.826,2422.4437,35.8458,37.9075,40.2067,2596.868,2333.565,35.9858,38.0125,40.3329,4125.54,2481.2137,35.8214,37.9734,40.2907,2555.416,2871.2887,35.4655,37.8019,40.0633,1364.318,2317.5225,36.0053,37.9921,40.3053,5530.925,2529.1425,35.7541,38.0322,40.3215,3980.704,2339.7188,35.9597,38.0081,40.313,3682.305,2518.8863,35.7697,38.0344,40.3319,2616.106,2338.3275,36.0546,38.0205,40.3325,4682.486,2295.825,36.0223,38.0012,40.317,5157.286,2295.5738,36.0179,38.0036,40.3192,5125.595,2373.8325,35.9921,37.9838,40.3026,4912.015,2286.9713,36.0069,37.9817,40.3078,4866.263,2277.6188,35.9806,37.9804,40.2924,4590.089,2306.3325,35.9879,37.989,40.3022,2438.474,2312.0925,35.9987,38.0296,40.3234,5002.173,2292.8288,36.0173,37.9973,40.3153,4961.626,2295.2587,36.0179,37.9951,40.3137,4835.337,10217.595,34.4319,37.1772,39.3161,196.902
Traffic,37,1122.75,33.2498,36.9551,39.2729,4819.92,1128.375,33.2211,36.9301,39.2553,3983.756,1134.3412,33.1837,36.9251,39.2386,3135.089,1165.6312,33.0816,36.8795,39.187,2300.457,1127.3587,33.2164,36.9566,39.2935,3830.957,1180.26,33.0707,36.9388,39.275,2393.203,1316.7262,32.748,36.8125,39.0938,1275.621,1132.4512,33.236,36.9426,39.2596,5287.609,1191.4462,33.0294,36.964,39.2599,3636.964,1135.335,33.2053,36.9603,39.2812,3348.652,1190.0438,33.0443,36.9624,39.266,2297.267,1141.0275,33.2889,36.9752,39.2932,4307.559,1123.3087,33.2484,36.9511,39.2664,4783.324,1125.1575,33.244,36.9497,39.2736,4730.884,1182.165,33.196,36.9342,39.2493,4550.267,1117.995,33.2364,36.939,39.2649,4535.634,1113.525,33.2147,36.934,39.2426,4292.807,1127.3175,33.2156,36.9326,39.2589,2079.238,1134.6187,33.2662,37.0154,39.2999,4647.521,1120.8412,33.25,36.9544,39.2729,4572.17,1122.2025,33.2489,36.9441,39.2669,4462.102,5022.3225,31.5241,36.2167,38.3718,160.494
,,,Reference,,,,,REFS=3,,,,,REFS=2,,,,,REFS=1,,,,,CUDepth=3,,,,,CUDepth=2,,,,,CUDepth=1,,,,,AMP=0,,,,,FME=2,,,,,FME=1,,,,,FME=0,,,,,HAD=0,,,,,SR=32,,,,,SR=8,,,,,SR=0,,,,,TUDepth=2,,,,,TUDepth=1,,,,,TestRect=0,,,,,RDOQ=0,,,,,BIPRED=2,,,,,BIPRED=0,,,,,LOWER_BOUND,,,
PeopleOnStreet,22,37168.185,40.8375,44.615,44.5424,9671.395,37356.3562,40.8222,44.5947,44.5291,8335.251,37529.0137,40.803,44.5665,44.5099,7049.925,37857.3,40.7866,44.5273,44.4785,5854.644,39052.095,40.8065,44.5832,44.5314,7035.179,43443.7012,40.6398,44.3384,44.3806,3823.406,51745.5975,40.5003,43.9159,44.0752,1922.279,37313.3587,40.8322,44.6054,44.5333,7957.76,39456.2513,40.824,44.5362,44.486,8069.054,37846.0462,40.8393,44.5846,44.5228,7818.837,39480.1312,40.8134,44.5313,44.4845,6458.76,38285.5013,40.8995,44.6482,44.5691,9020.504,37154.9512,40.8377,44.6152,44.5391,9173.474,37166.085,40.8368,44.5922,44.5275,8853.398,37912.7663,40.8417,44.5234,44.4901,8579.798,37152.4125,40.822,44.6062,44.5351,8604.955,37015.1512,40.7687,44.6067,44.5358,7821.215,37691.4187,40.8253,44.556,44.5095,6604.461,37116.2513,40.67,44.5488,44.4697,8769.512,37191.9412,40.8377,44.613,44.5416,9332.682,37310.925,40.8319,44.6009,44.533,9217.475,69968.2312,40.0486,43.6266,43.8435,413.399
PeopleOnStreet,27,17042.5238,37.4712,42.6008,43.0405,8189.164,17126.2275,37.4592,42.5586,43.0059,6882.029,17207.5762,37.4454,42.5192,42.9861,5654.209,17288.9813,37.4198,42.4699,42.9339,4499.722,18038.7337,37.4529,42.6079,43.0615,6129.582,20687.5612,37.2837,42.3363,42.9128,3407.757,25827.9412,37.0538,41.8335,42.5363,1767.069,17163.6,37.4682,42.5678,43.0132,6793.223,18240.225,37.3872,42.506,42.9649,6672.326,17340.8625,37.4578,42.5722,43.0242,6383.572,18277.8937,37.3793,42.4934,42.9588,5102.977,17465.3025,37.5197,42.6237,43.0549,7509.076,17042.3213,37.4727,42.5758,43.0303,7734.709,17064.6187,37.4691,42.5527,43.0061,7394.652,17686.6575,37.474,42.4229,42.921,7196.221,17049.2513,37.4618,42.5925,43.0328,7387.545,16990.0537,37.4203,42.5872,43.0253,6824.042,17358.9075,37.4609,42.5166,42.9951,5309.053,17419.41,37.4389,42.5535,42.9892,7659.151,17056.2938,37.4712,42.5918,43.0382,7858.09,17087.1112,37.4621,42.5783,43.0218,7730.274,40951.1775,37.011,41.4698,42.1498,360.101
PeopleOnStreet,32,8810.91,34.3459,40.9763,41.6996,7295.436,8849.8275,34.3242,40.9196,41.6503,6057.045,8880.15,34.2982,40.86,41.6215,4850.776,8912.2687,34.2563,40.7757,41.5615,3757.109,9119.5688,34.2965,40.9806,41.7122,5571.5,10422.7275,34.092,40.7637,41.6342,3137.979,13065.2062,33.7094,40.2593,41.2404,1666.432,8895.7687,34.3393,40.9567,41.6774,6184.8,9181.4812,34.153,40.8835,41.5986,5801.358,8882.79,34.3006,40.9494,41.6773,5537.736,9209.7862,34.1389,40.8619,41.5759,4253.331,8950.875,34.3658,40.9874,41.6811,6640.973,8812.2787,34.3432,40.9455,41.682,6878.526,8827.08,34.3378,40.869,41.6093,6599.111,9186.7275,34.2702,40.7038,41.5381,6392.002,8810.4637,34.3349,40.9566,41.6817,6665.889,8806.455,34.3062,40.9633,41.6787,6239.766,8903.3587,34.2999,40.9004,41.6482,4420.183,9098.4525,34.3646,40.9218,41.5963,6968.245,8813.0775,34.3433,40.9651,41.6765,7003.558,8823.75,34.3359,40.9542,41.675,6857.805,23646.2512,33.9054,39.6582,40.6668,322.268
PeopleOnStreet,37,4990.41,31.5132,39.811,40.677,6699.808,5011.35,31.4795,39.7453,40.6372,5510.982,5026.7962,31.4557,39.685,40.6001,4349.58,5039.0813,31.3893,39.5956,40.5485,3301.73,5062.9575,31.4828,39.8152,40.7087,5206.023,5525.07,31.1811,39.6998,40.6774,2946.77,6726.8362,30.6912,39.2661,40.3907,1593.098,5042.865,31.4978,39.7752,40.6474,5789.775,5095.1962,31.3206,39.7141,40.5811,5250.894,5003.295,31.4689,39.7941,40.6839,5015.11,5115.6937,31.2998,39.6952,40.5308,3741.079,5047.8488,31.5357,39.8055,40.7123,6089.499,4990.3725,31.4988,39.7609,40.641,6305.503,5001.3975,31.4826,39.6883,40.5811,6044.467,5189.6325,31.3451,39.5231,40.483,5869.393,4989.8325,31.5025,39.7925,40.6758,6193.597,4977.1163,31.4749,39.78,40.6455,5825.981,5023.095,31.4583,39.7329,40.6252,3776.833,5109.945,31.5097,39.7526,40.5924,6418.199,4991.19,31.5132,39.804,40.6814,6392.754,4992.51,31.5068,39.7858,40.6878,6272.639,13229.355,30.792,38.5463,39.7096,290.661
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BasketballDrive,22,16658.125,39.6254,44.1198,45.189,4419.636,16693.0125,39.6239,44.12,45.1812,3772.445,16782.9813,39.6202,44.1047,45.1703,3164.855,17071.2188,39.6067,44.074,45.127,2620.719,16846.6625,39.615,44.107,45.1739,3296.798,17313.1437,39.5718,44.0458,45.1043,1820.94,18239.3375,39.4912,43.9355,44.9552,915.837,16715.8813,39.6228,44.1184,45.1849,3765.795,17342.8937,39.6062,44.1129,45.1664,3666.589,16883.5063,39.6215,44.1245,45.1873,3574.966,17426.4438,39.6029,44.1056,45.1596,2952.658,17482.7438,39.6779,44.1506,45.2386,4116.68,16672.3625,39.6266,44.1221,45.197,4109.356,16689.9625,39.6265,44.1204,45.1884,3950.789,16929.6875,39.6244,44.1062,45.1717,3830.493,16629.0375,39.6183,44.1188,45.1914,3955.026,16593.9313,39.6023,44.1146,45.1728,3614.764,16718.725,39.6204,44.1098,45.1725,2756.682,18630.8625,39.6585,44.052,45.0952,4004.018,16659.3937,39.6251,44.1188,45.1894,4270.036,16707.075,39.6221,44.1131,45.1779,4215.072,36176.2063,39.4987,43.7915,44.7283,202.42
BasketballDrive,27,5993.7438,37.9475,42.7256,43.0278,3660.732,6020.1063,37.9415,42.7112,43.0241,3047.115,6054.3813,37.9324,42.6895,43.006,2484.5,6195.8563,37.8971,42.6476,42.9365,1951.878,6094.7688,37.938,42.7182,42.9904,2801.689,6422.65,37.8974,42.6432,42.9024,1588.726,7088.3875,37.8068,42.4662,42.6846,818.316,6018.35,37.9436,42.7109,42.9959,3218.585,6300.4563,37.9015,42.7036,43.003,2946.722,6070.8688,37.933,42.7172,43.0194,2835.741,6312.4688,37.8959,42.6929,42.9881,2261.771,6184.1875,37.9862,42.7413,43.0793,3356.57,5993.8625,37.9458,42.7159,43.0178,3384.482,6006.4375,37.9427,42.7058,43.0044,3238.131,6209.7875,37.9388,42.6883,42.9838,3134.321,5985.4,37.9407,42.7191,43.0102,3324.906,5987.575,37.9283,42.7198,43.0158,3109.544,6031.225,37.9372,42.7093,43.0038,2061.962,6537.7625,37.9878,42.6832,43.0077,3404.661,6000.725,37.9453,42.7219,43.0153,3507.384,6015.3,37.9405,42.7096,43.0093,3452.184,17477.5312,37.7489,42.2859,42.5872,178.473
BasketballDrive,32,2851.95,36.0978,41.3138,40.9669,3203.791,2859.375,36.0928,41.3037,40.9488,2623.703,2875.925,36.0757,41.2811,40.9496,2092.565,2940.2313,36.0293,41.2457,40.9097,1592.857,2875.7688,36.0859,41.3022,40.9793,2509.159,3031.1063,36.0277,41.2246,40.868,1449.13,3364.575,35.9049,41.021,40.6421,760.59,2861.8563,36.0915,41.3112,40.9627,2896.81,2961.6688,36.015,41.3051,40.9697,2505.763,2875.7313,36.0772,41.3291,40.9825,2413.507,2964.8313,36.0063,41.2793,40.9238,1836.676,2926.7875,36.1507,41.3573,41.0526,2916.239,2852.825,36.094,41.3185,40.9809,2963.46,2867.4938,36.0986,41.3115,40.9768,2836.441,2963.9563,36.0684,41.2559,40.9232,2744.854,2848.7063,36.0988,41.3178,40.9739,2951.437,2846.2375,36.0784,41.2978,40.9808,2789.902,2864.8688,36.0836,41.2973,40.9626,1650.548,3083.9375,36.1429,41.3107,41.0491,3046.019,2855.6375,36.0989,41.336,40.982,3063.093,2863.475,36.0893,41.3197,40.9596,3001.147,9077.9625,35.6732,40.7484,40.5719,155.565
BasketballDrive,37,1479.925,34.0366,40.251,39.598,2912.115,1487.325,34.0286,40.2361,39.591,2369.941,1493.5125,34.0094,40.2234,39.5711,1851.024,1514.9688,33.9578,40.1633,39.5225,1388.751,1485.775,34.0243,40.2893,39.5806,2302.48,1546.025,33.9641,40.1756,39.4551,1351.708,1695.7438,33.8227,39.9674,39.2467,721.873,1486.7438,34.0227,40.2344,39.5895,2703.306,1518.95,33.9425,40.2473,39.5852,2242.62,1489.875,34.0191,40.2517,39.5931,2146.543,1521.5125,33.9284,40.208,39.5444,1579.316,1513.7625,34.0829,40.2999,39.6742,2623.488,1484.7063,34.0379,40.2506,39.6041,2697.07,1486.8688,34.0281,40.2455,39.5998,2597.007,1570.775,33.9857,40.2097,39.5382,2505.572,1476.1688,34.0312,40.2459,39.5981,2703.881,1478.2125,34.0057,40.234,39.5948,2559.24,1487.2125,34.0152,40.2359,39.6038,1394.469,1568.3563,34.0386,40.2701,39.5942,2776.431,1482.4125,34.0328,40.2524,39.5913,2763.1,1483.925,34.0324,40.2131,39.5804,2703.652,4804,33.2925,39.6199,39.152,130.698
ParkScene,22,8727.12,39.8413,41.7919,43.0577,3911.544,8763.234,39.8295,41.7791,43.0353,3383.816,8889.102,39.8035,41.7464,43.001,2879.419,9273.156,39.7223,41.6534,42.8652,2403.401,8965.47,39.8017,41.7853,43.0269,2948.241,9593.877,39.6277,41.7262,42.9448,1626.536,11001.768,39.4301,41.5303,42.6591,830.212,8769.684,39.8349,41.7886,43.0506,3289.548,9750.738,39.7,41.7442,42.9952,3269.591,8954.028,39.8029,41.7719,43.032,3073.853,9693.135,39.7044,41.7509,43.004,2548.626,9013.083,39.892,41.8342,43.0965,3618.274,8718.981,39.8414,41.7938,43.0538,3840.913,8726.43,39.8404,41.7942,43.0581,3784.187,8770.512,39.8365,41.7892,43.0533,3675.078,8724.987,39.8228,41.7817,43.0465,3507.463,8712.027,39.7712,41.7685,43.0314,3210.46,8807.373,39.8213,41.7792,43.0405,2444.14,8746.443,39.7385,41.6697,42.9066,3636.354,8727.216,39.8425,41.7983,43.0581,3813.876,8735.673,39.8419,41.7926,43.056,3778.277,28836.093,38.8123,40.9605,41.8936,214.758
ParkScene,27,3544.107,36.9759,39.7308,40.8637,3204.923,3560.157,36.9606,39.7162,40.8526,2699.059,3603.618,36.9368,39.7028,40.8334,2223.157,3712.521,36.8636,39.5953,40.7029,1764.328,3619.977,36.9298,39.7299,40.8824,2471.493,3814.707,36.7475,39.6746,40.8214,1374.9,4295.163,36.4594,39.4291,40.5746,716.215,3566.445,36.9678,39.7212,40.8505,2799.89,3825.93,36.7692,39.7021,40.8384,2553.203,3595.689,36.9218,39.7172,40.8487,2399.041,3808.23,36.7829,39.7017,40.8296,1865.636,3645.627,37.0209,39.7659,40.8927,2910.897,3544.875,36.9706,39.7358,40.87,3125.175,3547.419,36.9721,39.7352,40.8587,3075.689,3582.048,36.9602,39.7223,40.8581,2973.725,3539.466,36.9551,39.7163,40.8431,2927.553,3530.328,36.9165,39.6944,40.8407,2730.225,3568.398,36.948,39.7131,40.847,1762.538,3566.574,36.8902,39.6461,40.819,3075.232,3542.829,36.9722,39.7343,40.8642,3106.054,3550.707,36.9731,39.7339,40.8613,3058.516,13453.068,35.5997,38.7754,40.0257,166.712
