		Reference					TS10-1					TS20-1					TS20-3					TS30-1					TS30-2					TS40-2					TS40-3					TS50-1					TS50-2					TS50-4					TS60-1					TS60-2					TS70-1					TS70-2					TS70-4					TS80-1					TS80-3					TS80-4					TS90-1					TS90-2
Sequence	QP	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time
RaceHorsesC	32	1128.3338	32.0627	36.9044	37.8268	768.07	1124.295	32.039	36.8842	37.8314	650.85	1130.5725	32.0223	36.8335	37.7827	551.14	1130.16	32.0316	36.8716	37.7935	588.38	1132.1625	32.016	36.8487	37.8028	545.56	1132.6988	32.0165	36.8484	37.7809	524.1	1141.845	31.9883	36.8318	37.7366	417.17	1137.3787	31.9951	36.8378	37.7942	458.04	1154.3663	31.9707	36.8282	37.7355	360.15	1151.7975	31.9666	36.8219	37.7484	379.12	1153.65	31.9633	36.829	37.7383	344.5	1179.2475	31.9189	36.7713	37.7029	287.96	1195.0387	31.832	36.7811	37.685	266.96	1208.76	31.8144	36.7542	37.6829	200.17	1209.5362	31.8061	36.7389	37.6678	198.5	1219.89	31.8139	36.7266	37.6472	183.18	1274.7825	31.5353	36.6848	37.5605	120.76	1545.7725	31.3596	36.3456	37.259	87.06	1679.8875	31.4428	36.3094	37.2311	88.69	1652.475	31.3899	36.4399	37.268	67.95	1679.6737	31.4484	36.4832	37.3198	66.98	
RaceHorsesC	37	517.5638	29.1105	35.7319	36.432	674.77	515.6475	29.0919	35.7385	36.4009	576.54	519.7387	29.0735	35.7289	36.356	488.09	515.7413	29.0685	35.7568	36.4118	513.69	517.815	29.0646	35.7066	36.3697	470.65	517.485	29.0684	35.7168	36.3935	451.38	519.42	29.0368	35.7091	36.372	347.87	517.1363	29.0425	35.6893	36.3768	384.47	524.8425	29.0243	35.6902	36.3473	295.75	523.14	29.0162	35.6657	36.3621	313.59	525.8475	29.0159	35.6476	36.3502	283.17	530.8275	28.9823	35.6391	36.3173	230.32	532.5712	28.9241	35.645	36.3155	224.53	538.875	28.9058	35.6085	36.2895	168.54	538.4775	28.8936	35.6121	36.2583	166.7	541.695	28.8905	35.6161	36.2493	144.28	552.7613	28.6985	35.5758	36.2342	89.33	673.3012	28.4556	35.2653	35.9248	64.59	696.7687	28.5256	35.2897	35.9766	63.34	734.5462	28.4009	35.2248	35.8499	52.43	754.185	28.4447	35.2643	35.9337	51.32	
BQMall	22	5397.42	39.6266	42.6368	43.5766	725.5	5410.425	39.6047	42.6328	43.5546	624.05	5419.395	39.6032	42.6101	43.5522	572.71	5436.06	39.604	42.6153	43.5495	564.15	5450.52	39.5938	42.6158	43.5474	523.55	5462.235	39.5906	42.6008	43.5425	522.92	5489.6325	39.5892	42.6025	43.5329	455.12	5492.9925	39.5899	42.5965	43.5488	460.91	5542.875	39.5693	42.5825	43.5119	401.87	5546.445	39.5669	42.5833	43.5123	403.05	5551.0575	39.5657	42.5792	43.5186	388.63	5627.7825	39.5384	42.552	43.5005	339.56	5663.1825	39.4785	42.5387	43.4624	307.11	5737.7775	39.4657	42.5218	43.4583	242.28	5745.1275	39.4628	42.5302	43.4606	229.68	5765.4675	39.5122	42.5152	43.4511	230.53	6374.265	39.3118	42.4636	43.3857	168.67	7634.985	39.1027	42.2526	43.1688	112.24	7897.185	39.1766	42.2965	43.2136	111.69	7786.41	38.8626	42.1872	43.0715	85.7	7987.425	38.891	42.2061	43.1137	80.86	
BQMall	27	2462.7825	36.5677	40.507	40.9303	608.37	2465.82	36.5433	40.5011	40.9123	531.31	2476.9575	36.5391	40.4723	40.9106	482.98	2485.4475	36.5407	40.4847	40.9272	474.41	2485.89	36.5235	40.4738	40.9069	435.58	2493.54	36.517	40.4642	40.9009	433.11	2506.62	36.5163	40.447	40.9045	368.29	2512.14	36.5171	40.4647	40.8892	374.88	2538.9675	36.4913	40.4523	40.8735	317.55	2540.4075	36.4864	40.443	40.8654	318.78	2544.8775	36.4881	40.4205	40.8597	305.56	2572.4925	36.4536	40.4006	40.8393	256.66	2582.715	36.4044	40.3704	40.7776	240.71	2618.97	36.3843	40.3503	40.765	187.31	2622.33	36.3785	40.353	40.7892	176.6	2649.7575	36.4162	40.3629	40.7738	166.05	2903.2875	36.1102	40.299	40.7206	117.59	3510.7125	35.8562	40.0907	40.5572	78.53	3609.795	35.9323	40.1312	40.6104	77.72	3673.71	35.7901	40.1354	40.5744	64.12	3774.3675	35.8147	40.1625	40.6165	59.14	
BQMall	32	1200.525	33.4729	38.8568	38.9529	535.54	1202.595	33.4383	38.8656	38.9191	473.29	1207.56	33.429	38.83	38.9398	429.63	1210.3125	33.4324	38.8466	38.9239	416.98	1210.26	33.4234	38.8348	38.9369	378.22	1214.0625	33.4134	38.8295	38.9123	374.35	1216.29	33.4023	38.8047	38.8934	312.16	1217.985	33.413	38.8232	38.9065	316.67	1232.7975	33.367	38.7751	38.869	265.17	1231.5525	33.3614	38.7906	38.9006	264.72	1234.7325	33.36	38.8336	38.8723	253.56	1244.8425	33.315	38.7554	38.8519	207.95	1250.22	33.2815	38.7519	38.8118	200.15	1271.145	33.2508	38.7207	38.784	155.84	1270.5825	33.2434	38.7213	38.7928	146.89	1287.7425	33.2594	38.6952	38.7768	130.54	1376.3475	32.9217	38.6839	38.7533	87.82	1555.9275	32.7065	38.5313	38.5776	56.76	1591.8675	32.7694	38.5738	38.6199	55.5	1666.9575	32.6752	38.463	38.5775	49.55	1695.7125	32.7083	38.4963	38.6123	43.96	
BQMall	37	612.2025	30.4879	37.5142	37.4694	486.59	610.83	30.4725	37.5188	37.4737	434.23	611.1225	30.4486	37.4696	37.4278	392.13	610.7625	30.4486	37.52	37.4795	377.52	615.0825	30.452	37.473	37.4457	339.62	612.3525	30.4452	37.4696	37.4485	332.75	614.31	30.4231	37.4921	37.4468	271.96	613.7775	30.418	37.4685	37.456	274.2	620.6025	30.3872	37.4558	37.4144	227.78	622.7175	30.3831	37.4907	37.4035	226.92	624.2025	30.3755	37.4396	37.3816	216.38	628.47	30.3438	37.4523	37.379	173.79	625.6575	30.2966	37.4531	37.3783	173.83	635.52	30.2775	37.3893	37.3745	136.46	636.8325	30.2745	37.413	37.3438	128.96	644.6025	30.2644	37.4142	37.3083	109.94	671.805	30.0245	37.4192	37.3709	69.59	748.8525	29.8	37.2962	37.216	43.9	764.88	29.8591	37.3752	37.2777	42.66	774.2325	29.7668	37.2942	37.1623	40.36	773.97	29.8234	37.3468	37.2757	34.08	
Slideshow	22	381.565	50.1162	51.3583	52.3922	999.85	384.3325	50.1119	51.3655	52.2964	860.42	411.1175	50.1163	51.3168	52.2855	784.22	383.74	50.101	51.3515	52.3436	735.07	384.865	50.0932	51.3889	52.3369	649.63	381.795	50.1379	51.3502	52.3234	606.7	415.6825	50.1015	51.2642	52.2643	484.05	386.1125	50.0897	51.356	52.289	485.08	412.815	50.0817	51.2812	52.2287	399.33	377.9025	50.0815	51.3473	52.2949	386.76	412.5325	50.1102	51.2912	52.1788	375.66	404.8375	50.0996	51.3019	52.2793	290.28	388.205	50.0678	51.3205	52.2686	298.59	389.9525	50.0897	51.3024	52.2121	248.96	389.67	50.1149	51.3311	52.277	243.74	389.43	50.092	51.3174	52.2829	204.86	411.56	49.723	51.3074	52.2766	123.88	554.0175	49.4062	50.8752	51.9017	61.47	559.0325	49.4918	50.9392	52.0009	58.01	550.115	48.9511	50.6324	51.7555	51.87	565.3575	48.9887	50.6522	51.7575	48.38	
Slideshow	27	250.6225	46.4913	47.6392	48.911	985.1	250.015	46.4731	47.7153	48.8903	843.51	258.505	46.4645	47.6781	48.927	770.35	250.8425	46.4944	47.6653	48.8334	720.67	250.7225	46.4678	47.5216	48.8316	637.17	250.76	46.4536	47.6431	48.8148	597.12	262.4625	46.4409	47.6775	48.8713	472.44	251.28	46.4506	47.6284	48.8553	471.39	261.5425	46.4594	47.658	48.8798	388.07	251.475	46.46	47.6757	48.7873	375.65	261.4825	46.415	47.6129	48.932	364.81	261.94	46.4082	47.6608	48.9447	281.97	252.8675	46.4552	47.7296	48.9818	291.55	253.385	46.4307	47.6362	48.9161	242.34	252.9575	46.4315	47.5827	48.9474	237.48	252.27	46.4227	47.5983	48.9179	196.76	262.265	45.8744	47.5986	48.9285	118.39	338.3725	45.5826	47.3772	48.6642	57.68	349.6225	45.7136	47.4417	48.734	54.73	353.33	45.3769	47.4334	48.5597	49.32	361.78	45.4514	47.4157	48.6168	45.85	
Slideshow	32	169.9675	42.7934	44.9197	46.1852	969.25	169.89	42.7724	44.9534	46.2047	824.01	176.5275	42.7113	44.8163	46.1146	760.34	170.4275	42.8334	44.9256	46.1699	704.01	170.4975	42.7627	44.7589	46.3022	615.58	170.5675	42.7579	44.9355	46.2747	579.94	176.415	42.7307	44.7498	46.1132	460.35	170.79	42.733	45.0045	46.2306	456.97	176.4475	42.6715	44.7402	46.1313	377.84	170.7975	42.7145	44.9229	46.3087	364.15	176.5925	42.7114	44.8353	46.0019	352.87	176.77	42.7101	44.817	46.2035	272.12	172.95	42.7166	44.8755	46.0646	285.29	172.72	42.7134	44.9465	46.2922	236.25	171.94	42.7093	45.0427	46.3302	231.14	173.3975	42.7362	44.884	46.1533	189.76	176.64	42.2662	44.7612	46.0824	111.87	214.835	41.9676	44.5557	45.9902	54.02	215.26	42.0477	44.6555	45.8853	50.48	216.86	41.8197	44.5385	45.7782	46.67	219.1775	41.8654	44.5928	45.9339	43.09	
Slideshow	37	118.6475	39.1276	42.952	44.0354	940.36	118.52	39.1126	42.8936	43.8634	809.26	123.955	39.0364	42.8932	43.7495	750.48	119.145	39.0218	42.9426	43.9388	691.58	118.865	38.9945	42.8622	44.0515	608.41	119.2575	39.0176	42.8768	43.9503	566.35	122.28	38.989	42.9963	43.9765	452.02	119.0375	39.0449	42.8454	43.9146	444.6	122.23	39.0224	42.9435	43.847	368.53	118.75	39.0028	42.8726	43.9858	355.24	122.53	39.0245	42.8462	43.9618	345.67	121.9425	38.9632	42.8725	43.9189	264.09	119.8025	39.0713	42.8485	43.8392	278.47	120.12	38.9905	42.7515	43.8328	234.13	119.585	38.9284	42.7225	43.7562	228.09	119.8975	38.9938	42.8329	43.7017	184.24	122.455	38.5688	42.7162	43.7434	107.57	141.415	38.1968	42.5865	43.9305	50.64	143.1525	38.2916	42.756	44.1642	47.17	142.54	38.0259	42.4547	43.7673	44.18	144.635	38.03	42.5764	43.8183	40.57	
