		Reference					TS10-1					TS20-1					TS20-3					TS30-1					TS30-2					TS40-2					TS40-3					TS50-1					TS50-2					TS50-4					TS60-1					TS60-2					TS70-1					TS70-2					TS70-4					TS80-1					TS80-3					TS80-4					TS90-1					TS90-2
Sequence	QP	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time	Bitrate	PSNR-Y	PSNR-U	PSNR-V	Enc. Time
BasketballDrillText	22	3463.2125	40.583	42.8954	43.4433	755.82	3459.3188	40.5594	42.8934	43.4391	629.91	3490.075	40.5548	42.8646	43.4371	579.13	3478.2313	40.5546	42.8672	43.4265	570.65	3486.5	40.5458	42.8572	43.4188	530.2	3491.5438	40.5419	42.8532	43.431	511.05	3514.0438	40.5469	42.8551	43.4137	439.36	3502.1688	40.539	42.8696	43.4107	451.25	3593.2438	40.4793	42.7855	43.3332	390.2	3584.7375	40.4797	42.782	43.3554	394.89	3589.25	40.4816	42.7917	43.3431	376.66	3674.3438	40.4362	42.7549	43.308	328.56	3704.0563	40.3774	42.7668	43.3086	300.27	3741.2812	40.3575	42.7433	43.2901	236.65	3745.05	40.3652	42.7436	43.2963	234.61	3816.8125	40.3706	42.7011	43.2342	235.04	4156.4125	40.2892	42.8244	43.3578	167.66	4994.2	40.0427	42.4484	42.9673	110.3	5215.9375	40.1288	42.4985	43.039	109.15	5225.8625	39.8994	42.3163	42.8098	78.85	5253.5125	39.9514	42.3891	42.8476	77.83	
BasketballDrillText	27	1644.4313	37.379	40.2494	40.5067	646.82	1643.9	37.3663	40.27	40.5092	541.93	1657.2438	37.3554	40.2415	40.4762	490.17	1651.4313	37.3631	40.2538	40.5199	486.54	1653.825	37.3402	40.246	40.5135	445.62	1653.925	37.354	40.2415	40.4971	425.49	1665.175	37.3445	40.2042	40.4549	357.65	1656.3625	37.3443	40.2579	40.4845	368.24	1694.2375	37.2759	40.1532	40.3845	311.22	1688.425	37.2837	40.164	40.4382	316.68	1694.65	37.2729	40.1171	40.3817	298.99	1729.0188	37.2361	40.0703	40.3469	252.85	1724.15	37.1856	40.1371	40.4033	239.6	1742.1688	37.1635	40.0641	40.3283	186.66	1747.5125	37.1468	40.0436	40.3112	184.8	1785.1	37.1367	39.9586	40.2329	174.45	1898.2688	36.9813	40.1318	40.3473	119.37	2319.3187	36.7502	39.7403	39.9429	79.11	2368.925	36.8307	39.8019	39.9926	78.08	2460.6813	36.8287	39.8215	40.0664	59.1	2544.6625	36.8678	39.8601	40.088	57.94	
BasketballDrillText	32	796.9375	34.4224	38.0208	38.1175	566.85	797.8188	34.4125	38.0466	38.0966	479.42	806.1188	34.3875	37.9991	38.0617	431.09	799.1438	34.3976	38.0663	38.1281	423.74	797.8688	34.4015	37.9974	38.1015	383.17	798.9	34.3989	38.0278	38.0631	364.6	803.9438	34.3959	38.0033	38.0417	298.55	800.9188	34.3922	38.0127	38.0987	307.68	817.4563	34.3392	37.9464	38.0019	255.19	811.4625	34.3397	37.971	38.0621	256.48	817.3563	34.3275	37.9377	38.0142	243.0	832.7	34.2588	37.8524	37.9662	199.35	826.3563	34.2281	37.916	38.0104	196.8	834.9938	34.2181	37.9163	37.961	153.2	839.825	34.2047	37.8765	37.9133	151.27	853.6063	34.1771	37.8261	37.8768	133.89	880.9813	33.9861	37.8959	37.8597	85.41	1079.175	33.8009	37.4828	37.3886	58.16	1094.8875	33.885	37.541	37.4573	56.79	1178.6625	33.9095	37.6206	37.5301	46.01	1194.0812	33.9508	37.6941	37.6151	44.75	
BasketballDrillText	37	415.825	31.8098	36.3523	36.3496	513.7	416.1125	31.8041	36.3326	36.3114	434.28	422.5063	31.7792	36.3061	36.2298	392.2	416.05	31.7948	36.3533	36.3189	379.31	418.0438	31.7918	36.3572	36.3293	339.34	415.7812	31.7848	36.3406	36.3114	322.64	422.025	31.7738	36.287	36.2689	258.64	417.4062	31.7831	36.3435	36.3402	264.59	426.075	31.705	36.2389	36.2145	217.57	423.7938	31.7355	36.2919	36.3185	219.4	425.5188	31.7156	36.2912	36.2742	206.34	432.2688	31.6556	36.2632	36.1666	165.71	426.3125	31.6281	36.196	36.2285	171.54	428.5438	31.6106	36.2385	36.1152	133.86	429.1625	31.5859	36.2023	36.2282	131.98	436.3438	31.5635	36.1953	36.1325	110.98	443.2812	31.413	36.2034	36.1864	66.41	530.6187	31.177	35.9154	35.6841	43.97	558.7875	31.2316	35.9586	35.7589	42.71	596.05	31.2729	36.0721	35.8318	37.04	584.575	31.3372	36.1287	35.8603	35.29	
Johnny	22	2178.2175	42.8218	47.7554	48.3656	1146.42	2169.4425	42.8078	47.7295	48.3095	1006.02	2174.3175	42.7991	47.721	48.3287	961.25	2171.3475	42.8024	47.7331	48.3247	879.65	2170.9275	42.8	47.729	48.3212	790.13	2172.8625	42.796	47.7364	48.3225	745.58	2180.175	42.8006	47.7367	48.3288	636.34	2178.51	42.7977	47.7315	48.3312	616.31	2187.555	42.7834	47.7393	48.3099	539.0	2202.93	42.7808	47.7195	48.325	520.31	2199.045	42.7835	47.7232	48.3206	511.32	2231.235	42.7638	47.7144	48.3024	415.28	2299.905	42.7179	47.6718	48.2494	421.33	2317.0425	42.7075	47.6535	48.2416	332.7	2335.2225	42.7045	47.6519	48.2312	328.6	2367.0525	42.729	47.6576	48.223	286.28	2390.025	42.6709	47.642	48.2154	184.24	2525.745	42.5554	47.5717	48.1358	109.34	2670.495	42.6037	47.6116	48.175	107.57	2474.2875	42.4643	47.524	48.0632	83.53	2561.7075	42.4974	47.5605	48.1056	81.6	
Johnny	27	650.655	41.0142	46.0409	46.6979	986.76	650.0775	41.0019	46.0163	46.7016	880.11	652.14	40.9946	46.0054	46.6704	843.41	649.9425	40.998	46.0349	46.6812	752.58	652.5525	40.9937	46.032	46.6644	667.77	653.94	40.9864	46.0265	46.6822	627.59	653.2875	40.9896	46.0143	46.6795	521.49	654.8175	40.9825	46.0028	46.6583	499.1	653.49	40.977	46.0117	46.668	428.94	659.655	40.9745	46.0264	46.672	411.08	660.765	40.9748	46.0139	46.676	405.5	662.535	40.9462	46.0121	46.6365	314.41	677.61	40.901	45.9431	46.5879	338.03	688.2825	40.8901	45.958	46.6013	272.15	688.4325	40.8749	45.9286	46.5822	267.1	699.0225	40.886	45.9193	46.564	214.3	714.5175	40.8018	45.9522	46.5622	130.1	767.895	40.6496	45.9091	46.4932	68.04	789.195	40.6791	45.9461	46.5027	65.13	776.13	40.5844	45.9182	46.4735	56.32	792.0225	40.6065	45.9519	46.5016	53.19	
Johnny	32	301.71	38.9958	44.3519	44.8011	926.72	299.595	38.9864	44.3398	44.8219	829.44	300.3	38.9537	44.324	44.8053	795.87	300.5025	38.968	44.3496	44.8499	708.79	301.7925	38.9574	44.3337	44.8331	620.06	300.675	38.951	44.3394	44.7966	579.9	302.0775	38.9631	44.3586	44.8351	475.14	301.6425	38.9407	44.3492	44.83	453.71	303.09	38.9341	44.3427	44.817	388.61	301.65	38.9348	44.3268	44.7844	369.81	303.0825	38.9341	44.3408	44.8177	365.39	302.88	38.9067	44.3103	44.769	277.76	305.7825	38.8514	44.2567	44.7159	307.15	310.2525	38.8246	44.2687	44.7315	251.24	310.47	38.8387	44.2463	44.6895	244.87	314.265	38.8452	44.2531	44.7162	191.5	319.3725	38.7333	44.2511	44.7277	111.57	337.4325	38.5502	44.2816	44.7276	52.58	341.0025	38.6027	44.3114	44.7422	48.95	344.6175	38.5126	44.1967	44.6578	46.28	347.295	38.5515	44.2294	44.6602	42.41	
Johnny	37	158.7675	36.5774	43.0252	43.4215	894.29	159.8775	36.5771	43.0398	43.4161	798.89	159.75	36.5515	43.015	43.4149	765.19	159.255	36.5466	43.0384	43.4054	681.12	159.0975	36.5375	43.0342	43.438	593.36	160.14	36.5344	43.0248	43.4512	552.03	160.6575	36.554	43.039	43.4434	451.89	160.815	36.5409	43.0369	43.4287	429.63	161.0775	36.519	43.0215	43.4316	365.83	159.9525	36.5169	43.0381	43.4325	345.22	160.3875	36.5003	43.0345	43.4547	343.31	159.7575	36.4794	42.9825	43.4092	257.4	161.2275	36.43	42.9698	43.331	288.01	161.3475	36.4147	42.9873	43.3615	237.54	163.0425	36.414	43.0075	43.3792	232.68	164.1075	36.3893	42.9766	43.3762	178.65	163.29	36.335	42.8904	43.3421	101.08	169.1775	36.1621	42.9368	43.3412	44.56	169.6275	36.1997	42.9439	43.3516	41.01	172.53	36.1465	42.7995	43.3058	40.0	175.17	36.2034	42.8216	43.3147	36.36	
FourPeople	22	2432.1825	42.4722	46.3267	47.6098	1096.42	2424.33	42.462	46.3105	47.5934	960.25	2432.085	42.4576	46.2986	47.5839	923.25	2428.38	42.4626	46.3178	47.6009	838.25	2434.53	42.4573	46.3032	47.589	749.97	2432.8125	42.4607	46.3081	47.5906	707.93	2436.0825	42.4561	46.2998	47.5821	604.37	2438.1375	42.454	46.3038	47.5952	583.8	2464.35	42.4425	46.2885	47.575	510.89	2467.5075	42.4435	46.2948	47.577	492.3	2462.835	42.4419	46.3052	47.5895	484.72	2479.275	42.4239	46.2876	47.5808	392.75	2485.275	42.3949	46.2545	47.5233	393.16	2510.22	42.3868	46.2442	47.5209	316.17	2513.175	42.3901	46.2421	47.522	310.91	2534.8275	42.4012	46.2568	47.5427	275.54	2663.9175	42.3119	46.2371	47.5045	176.21	2795.625	42.2155	46.1715	47.4595	102.34	2905.0575	42.26	46.2025	47.4767	100.0	2790.015	42.1239	46.1453	47.3982	79.43	2857.095	42.139	46.1808	47.4193	76.78	
FourPeople	27	961.1325	40.2973	44.3595	45.6253	966.9	955.935	40.2814	44.3193	45.6148	858.61	965.8575	40.2799	44.3265	45.6269	821.82	958.9425	40.2801	44.3452	45.6255	735.77	958.725	40.2692	44.3335	45.6444	652.82	959.04	40.2687	44.3288	45.6088	611.56	967.9125	40.2746	44.3274	45.6227	512.27	962.8125	40.2653	44.3379	45.6348	489.02	970.11	40.2567	44.3261	45.6226	423.04	970.74	40.2571	44.3394	45.6124	404.29	972.285	40.258	44.3146	45.6215	397.78	977.9325	40.2426	44.3148	45.6038	309.98	981.69	40.2386	44.2913	45.5741	325.81	992.8275	40.2293	44.2787	45.5737	264.31	992.775	40.2221	44.2643	45.568	259.36	999.285	40.2269	44.2793	45.5759	213.01	1042.83	40.0991	44.2737	45.5698	128.57	1100.1375	39.993	44.2586	45.5651	67.55	1129.1625	40.0252	44.2788	45.5894	64.13	1140.405	39.9362	44.3286	45.5163	56.05	1155.5325	39.9587	44.3463	45.5429	52.51	
FourPeople	32	494.6175	37.7459	42.5719	43.7389	914.5	494.94	37.7418	42.5479	43.7507	815.75	495.885	37.7307	42.5387	43.7472	781.31	495.735	37.7334	42.5549	43.727	694.64	496.4325	37.7326	42.5417	43.7221	610.03	495.72	37.7302	42.5472	43.7215	571.19	499.725	37.7258	42.5367	43.7186	471.38	496.6125	37.7281	42.5453	43.7321	449.41	501.945	37.7088	42.544	43.7159	385.58	500.7975	37.7116	42.5266	43.7234	366.36	501.9975	37.7097	42.5178	43.7267	361.13	505.92	37.7046	42.5354	43.7375	276.7	503.415	37.6877	42.5105	43.7077	297.68	508.2525	37.6854	42.5047	43.7094	244.27	509.01	37.6825	42.515	43.7027	238.6	513.12	37.6799	42.4889	43.6853	190.33	521.235	37.5501	42.5108	43.7121	109.14	545.76	37.4458	42.5675	43.7715	53.39	553.0275	37.4823	42.5888	43.7765	49.87	565.2	37.4095	42.6469	43.7748	46.48	571.1025	37.4356	42.6859	43.8021	42.83	
FourPeople	37	271.2675	34.8435	41.2515	42.4244	882.17	270.435	34.8364	41.2501	42.4253	788.03	272.7525	34.82	41.2115	42.3947	756.85	272.1	34.8344	41.2263	42.3978	670.92	272.9775	34.821	41.2378	42.4083	586.85	272.205	34.8081	41.2255	42.4024	547.6	274.68	34.8066	41.2408	42.416	450.25	272.6625	34.8237	41.2333	42.4076	426.67	275.7975	34.7917	41.232	42.3978	364.72	275.1225	34.8074	41.247	42.3925	345.58	275.1675	34.8096	41.2319	42.4244	340.2	276.4875	34.7882	41.2186	42.387	256.38	275.7225	34.7748	41.2047	42.4021	281.54	279.3375	34.7576	41.1955	42.3653	232.21	277.335	34.7499	41.2114	42.3879	227.37	279.84	34.7558	41.2028	42.3567	177.92	281.6625	34.6758	41.1896	42.3579	99.24	290.4975	34.5859	41.3135	42.3728	45.92	295.1925	34.6302	41.3356	42.399	42.3	300.81	34.6015	41.2744	42.323	41.12	302.9325	34.6152	41.29	42.3198	37.49	
BasketballDrive	22	16658.125	39.6254	44.1198	45.189	4270.1	16623.3563	39.6185	44.1212	45.1904	3714.57	16719.0625	39.617	44.1095	45.1843	3204.93	16643.5375	39.6179	44.1176	45.1815	3347.6	16639.7125	39.6143	44.1121	45.1761	3071.65	16653.5438	39.6154	44.11	45.1727	2969.37	16709.2438	39.6153	44.1133	45.1715	2372.74	16659.0187	39.614	44.1038	45.1732	2581.04	16739.0875	39.6129	44.1016	45.1698	2103.27	16694.3125	39.6132	44.1059	45.169	2227.5	16732.1063	39.6144	44.0967	45.1605	2038.7	16856.975	39.6071	44.0844	45.1441	1776.22	17013.2125	39.5831	44.061	45.1127	1700.02	17048.3563	39.58	44.0472	45.0992	1306.15	17080.15	39.5775	44.0419	45.0924	1295.48	17132.1063	39.5912	44.0481	45.0957	1252.02	17747.1688	39.5668	44.0459	45.0842	871.29	18336.5812	39.5245	43.9673	45.0081	552.04	19063.2375	39.5805	44.0086	45.0685	547.88	20655.9938	39.5271	43.8883	44.8935	421.44	20860.25	39.5472	43.9114	44.9162	409.47	
BasketballDrive	27	5993.7438	37.9475	42.7256	43.0278	3543.87	5993.35	37.9435	42.7102	43.0135	3126.45	6034.2313	37.9345	42.6926	42.9974	2675.37	5990.9313	37.9378	42.72	43.0027	2773.8	6001.0875	37.9396	42.7065	42.9988	2526.25	6004.3125	37.936	42.7146	43.0077	2417.65	6030.0563	37.935	42.7019	42.9814	1866.54	6011.6875	37.9359	42.7034	43.006	2044.92	6042.85	37.9271	42.6861	42.9814	1617.1	6029.5188	37.9294	42.6914	42.9805	1721.84	6048.0125	37.9281	42.6871	42.986	1555.3	6098.1562	37.9132	42.6603	42.9522	1312.32	6190.3813	37.881	42.6262	42.9173	1325.06	6215.9313	37.8756	42.6101	42.9028	1021.21	6234.2938	37.8728	42.6126	42.9003	1010.2	6244.5938	37.8843	42.6024	42.8908	906.67	6481.5	37.8453	42.6183	42.8917	609.91	7078.15	37.7951	42.4907	42.7528	394.5	7329.5438	37.8476	42.5378	42.8234	389.2	7889.8625	37.8481	42.4416	42.7599	320.13	7949.0938	37.875	42.47	42.7927	305.9	
BasketballDrive	32	2851.95	36.0978	41.3138	40.9669	3104.76	2849.5063	36.0925	41.3331	40.9901	2769.1	2870.5938	36.0814	41.3023	40.9461	2372.6	2850.0563	36.0873	41.3084	40.965	2424.73	2858.9875	36.0853	41.3238	40.9637	2167.35	2851.6063	36.0831	41.3034	40.9564	2077.83	2867.7875	36.0755	41.2881	40.938	1573.23	2860.575	36.0808	41.2877	40.9566	1724.33	2879.2938	36.0688	41.2951	40.9508	1343.94	2867.3438	36.071	41.293	40.9722	1415.91	2883.6875	36.0707	41.2786	40.937	1281.83	2901.5063	36.0476	41.2382	40.925	1052.11	2939.95	36.0067	41.225	40.8895	1108.81	2947.5625	35.9966	41.2057	40.8582	860.28	2956.5375	35.9911	41.1964	40.8588	851.82	2956.4188	35.9987	41.1981	40.8474	718.33	3039.4125	35.9343	41.1955	40.8477	463.86	3385.3875	35.8464	41.0559	40.7158	298.09	3512.525	35.9144	41.0993	40.799	291.92	3781.1875	35.9368	41.084	40.8456	250.48	3856.7125	35.9687	41.1116	40.9148	245.17	
BasketballDrive	37	1479.925	34.0366	40.251	39.598	2822.5	1482.35	34.0248	40.2557	39.5824	2541.46	1490.5625	34.0224	40.2043	39.5831	2186.67	1479.8688	34.0246	40.2441	39.593	2193.35	1479.9125	34.0255	40.2502	39.5828	1946.92	1483.8938	34.0239	40.2371	39.5787	1854.68	1488.2625	34.0059	40.2221	39.5791	1398.1	1483.9938	34.012	40.2329	39.5794	1505.09	1496.2812	34.0007	40.2202	39.5715	1170.9	1486.7875	33.9976	40.198	39.5789	1230.46	1496.5063	33.9805	40.193	39.5374	1115.77	1508.9938	33.9708	40.1795	39.5263	897.25	1512.35	33.9231	40.154	39.4755	980.34	1519.1	33.913	40.1558	39.4853	768.63	1519.9938	33.9016	40.1173	39.4695	763.0	1520.8125	33.9098	40.1422	39.4806	615.4	1556.8125	33.8421	40.1142	39.4516	380.14	1747.975	33.7158	39.9848	39.2745	234.98	1798.4188	33.8036	40.0488	39.3755	229.63	1940.4438	33.7717	40.0402	39.4004	204.51	1963.7313	33.826	40.0738	39.4845	196.23	
ParkScene	22	8727.12	39.8413	41.7919	43.0577	3775.53	8723.562	39.8223	41.7837	43.0466	3283.76	8737.233	39.8198	41.7798	43.0391	3102.45	8745.336	39.8174	41.777	43.0397	2962.15	8768.208	39.8091	41.7763	43.0311	2744.96	8762.679	39.8078	41.7709	43.023	2640.16	8788.017	39.8037	41.7657	43.021	2311.3	8784.846	39.8052	41.7684	43.0295	2293.88	8827.659	39.7938	41.751	43.0041	2021.97	8824.704	39.7945	41.7529	43.0081	1991.11	8836.425	39.793	41.751	43.0023	1948.86	8972.454	39.7708	41.7227	42.967	1668.43	9282.351	39.6603	41.6336	42.8411	1572.86	9351.696	39.6491	41.6128	42.8249	1206.9	9361.281	39.649	41.6131	42.8259	1193.92	9371.796	39.6945	41.6307	42.8366	1144.0	10063.305	39.5529	41.634	42.8611	837.95	10817.007	39.3962	41.4542	42.5848	519.19	11135.262	39.4719	41.5169	42.6514	517.78	10753.953	39.1522	41.2914	42.3835	387.13	10905.123	39.1902	41.3194	42.4198	383.07	
ParkScene	27	3544.107	36.9759	39.7308	40.8637	3099.82	3538.905	36.9553	39.7117	40.8581	2738.81	3554.421	36.9544	39.7045	40.8433	2562.72	3550.059	36.953	39.7057	40.8472	2417.34	3552.543	36.9382	39.6981	40.8389	2205.94	3556.389	36.9361	39.6968	40.831	2098.44	3563.928	36.934	39.6872	40.83	1769.31	3559.569	36.9343	39.6894	40.8337	1764.4	3576.9	36.9196	39.6785	40.8163	1516.93	3574.146	36.9219	39.6739	40.8147	1491.47	3580.797	36.9199	39.6773	40.8239	1448.76	3626.712	36.899	39.649	40.7933	1196.11	3702.882	36.8092	39.5568	40.6702	1195.72	3730.347	36.8014	39.5339	40.6539	916.91	3731.955	36.7981	39.5306	40.6548	907.25	3751.215	36.8298	39.5459	40.6718	794.5	3888.021	36.6195	39.5624	40.7069	548.58	4123.329	36.4767	39.3597	40.4832	327.91	4244.247	36.5487	39.4204	40.5391	323.73	4192.401	36.3107	39.2669	40.4303	260.69	4261.818	36.3518	39.3044	40.4636	254.47	
ParkScene	32	1510.131	34.2129	38.1488	39.5446	2701.26	1508.484	34.1969	38.1329	39.5331	2416.14	1516.191	34.1914	38.1189	39.5238	2251.83	1508.574	34.1915	38.13	39.5255	2093.26	1511.97	34.1809	38.1162	39.5041	1873.66	1510.851	34.1793	38.1135	39.5186	1779.12	1515.393	34.1718	38.1129	39.513	1450.2	1510.284	34.1713	38.1118	39.5103	1446.54	1520.319	34.1548	38.0993	39.5047	1216.98	1517.982	34.1598	38.0993	39.4955	1199.95	1521.402	34.1562	38.1088	39.4973	1161.74	1535.328	34.1384	38.0769	39.4898	930.86	1555.023	34.063	37.9939	39.4048	986.64	1566.234	34.058	37.9714	39.3903	767.78	1567.632	34.0565	37.9898	39.3968	762.17	1573.797	34.0731	37.9842	39.4053	624.48	1600.11	33.9048	38.0261	39.4325	404.82	1653.414	33.7762	37.844	39.3022	226.4	1693.701	33.8453	37.8942	39.3343	218.16	1658.196	33.6383	37.7981	39.2899	188.78	1689.585	33.6817	37.8317	39.3096	181.92	
ParkScene	37	654.861	31.6735	37.069	38.8175	2451.64	653.121	31.6539	37.0496	38.8078	2211.8	655.926	31.6515	37.0345	38.8072	2061.95	652.689	31.6491	37.0499	38.8172	1896.74	653.997	31.6362	37.0365	38.8028	1672.54	652.374	31.6403	37.042	38.8016	1583.51	658.605	31.6307	37.0419	38.8038	1259.91	654.111	31.6349	37.035	38.8011	1257.83	660.141	31.6246	37.0249	38.7862	1051.35	656.046	31.6258	37.0389	38.7935	1025.59	659.394	31.6198	37.0298	38.7911	989.05	664.086	31.6059	37.0192	38.7795	780.78	665.979	31.5388	36.9667	38.7437	865.87	669.807	31.5401	36.9504	38.7293	695.07	670.953	31.5352	36.9497	38.7398	681.06	673.467	31.5496	36.9629	38.7444	530.12	673.422	31.4507	36.9895	38.757	322.67	682.995	31.3574	36.8786	38.7001	170.15	700.8	31.4296	36.9075	38.7332	160.87	680.157	31.2608	36.8741	38.6697	149.61	691.635	31.3111	36.8972	38.6803	141.08	
Traffic	22	14551.035	41.6306	41.4585	43.9221	6831.35	14473.83	41.6053	41.4458	43.9052	5956.62	14518.3162	41.6011	41.4384	43.9021	5693.58	14520.5325	41.6023	41.4393	43.8957	5329.13	14537.37	41.5925	41.4346	43.8939	4901.69	14547.7013	41.5938	41.4359	43.8943	4678.35	14583.1687	41.5883	41.4303	43.8891	4112.99	14577.7237	41.5877	41.4329	43.8931	4024.86	14795.3137	41.5588	41.4058	43.8572	3570.49	14787.3	41.558	41.4064	43.857	3480.61	14805.9637	41.5565	41.4029	43.8598	3425.7	15220.4437	41.5083	41.3593	43.8062	2891.76	15808.2113	41.3845	41.2955	43.7184	2767.84	15891.9112	41.3619	41.2733	43.7024	2147.11	15923.025	41.3597	41.2721	43.7013	2123.22	16170.8737	41.4211	41.2874	43.711	1979.27	17114.67	41.294	41.3612	43.7817	1433.11	18743.8875	41.0441	41.0572	43.3799	890.03	19465.83	41.122	41.1213	43.4345	884.83	18397.5412	40.8681	40.9471	43.2619	669.15	18895.1963	40.9136	40.9883	43.2993	661.13	
Traffic	27	5229.2063	38.7686	39.4698	41.8576	5678.54	5214.7762	38.7526	39.4524	41.8416	5014.48	5227.4738	38.7489	39.4494	41.8347	4781.56	5227.14	38.7475	39.4469	41.8441	4383.21	5230.4513	38.7363	39.4373	41.8271	3971.42	5237.2837	38.7367	39.4411	41.8329	3757.24	5254.8375	38.732	39.4391	41.8354	3199.74	5246.2725	38.732	39.436	41.8264	3105.04	5314.8713	38.7017	39.4123	41.8054	2702.8	5307.7762	38.6971	39.4113	41.8089	2618.83	5317.5262	38.7011	39.4146	41.8066	2576.65	5421.6525	38.6487	39.3766	41.764	2086.72	5566.9125	38.5471	39.3126	41.6842	2129.82	5627.0175	38.5312	39.296	41.6644	1652.94	5625.7087	38.5279	39.2934	41.6671	1631.86	5703.7725	38.5441	39.3012	41.6776	1388.33	6102.9975	38.3631	39.3787	41.7396	926.44	6826.92	38.179	39.1293	41.4227	552.76	7064.9025	38.2438	39.1749	41.4636	541.0	6807.5062	38.0638	39.0918	41.3859	445.21	6962.2987	38.1074	39.1253	41.4112	430.91	
Traffic	32	2292.2025	36.0175	37.999	40.3254	5052.17	2287.3387	36.0049	37.99	40.3096	4513.9	2294.865	36.0001	37.9803	40.2949	4290.64	2292.4575	36.0031	37.9911	40.2983	3875.89	2296.5637	35.987	37.9793	40.2896	3469.8	2295.0375	35.987	37.9764	40.29	3265.81	2300.8837	35.9817	37.977	40.298	2710.71	2300.1675	35.9858	37.9725	40.2885	2629.69	2324.3775	35.9506	37.9577	40.2736	2252.23	2319.9262	35.9504	37.9547	40.283	2170.38	2321.16	35.9495	37.9586	40.2809	2132.54	2350.8675	35.9115	37.9292	40.2527	1682.29	2404.1137	35.8071	37.8854	40.1829	1809.64	2433.0037	35.7866	37.872	40.17	1432.91	2433.5662	35.7908	37.8666	40.1716	1409.79	2458.4175	35.7942	37.8735	40.1645	1132.4	2585.0887	35.6172	37.9344	40.2283	693.87	2941.515	35.4501	37.7517	39.9949	389.33	2994.4237	35.5241	37.7951	40.0354	374.96	2948.28	35.3768	37.7913	40.0073	331.22	3009.8925	35.4217	37.8193	40.0505	316.88	
Traffic	37	1122.75	33.2498	36.9551	39.2729	4658.59	1119.855	33.2373	36.9472	39.254	4193.97	1123.65	33.2329	36.9271	39.2571	4019.93	1121.07	33.2292	36.9436	39.2595	3585.46	1122.2213	33.2133	36.9274	39.2422	3157.0	1121.7637	33.2147	36.9244	39.2553	2976.58	1127.2613	33.2124	36.9299	39.2503	2429.65	1123.305	33.2148	36.9293	39.2429	2339.67	1134.3563	33.1835	36.9217	39.2379	1989.42	1132.68	33.1819	36.917	39.2239	1913.88	1134.8663	33.1791	36.9183	39.2418	1882.49	1138.0462	33.1487	36.9	39.2089	1448.11	1155.6712	33.0488	36.8681	39.1575	1620.02	1169.1825	33.0309	36.8592	39.145	1310.36	1166.34	33.0332	36.8544	39.1471	1288.93	1178.1075	33.0281	36.8568	39.1496	990.21	1217.5425	32.9062	36.8953	39.1978	578.01	1387.8075	32.7354	36.7636	39.0368	303.07	1411.1625	32.8099	36.7895	39.0818	287.17	1405.83	32.7157	36.8311	39.0457	266.97	1404.7387	32.776	36.8601	39.0719	249.05	
PeopleOnStreet	22	37168.185	40.8375	44.615	44.5424	9309.33	37194.81	40.823	44.604	44.53	8061.03	37305.2962	40.816	44.5734	44.5105	7115.59	37331.8575	40.8197	44.5827	44.5196	7377.67	37397.0325	40.8128	44.5767	44.5174	6936.32	37421.505	40.812	44.571	44.5104	6667.36	37547.4112	40.81	44.5378	44.4903	5646.52	37589.1562	40.8109	44.5502	44.5005	5969.39	37742.7412	40.794	44.5181	44.4725	4986.68	37763.6512	40.7935	44.5244	44.486	5150.91	37747.5225	40.7933	44.5091	44.4723	4826.74	38070.1612	40.7703	44.4836	44.4522	4178.99	37732.6125	40.72	44.5103	44.4634	3702.73	38034.6075	40.7123	44.4769	44.4434	2873.7	38167.86	40.7068	44.4631	44.4319	2892.6	38510.0775	40.7525	44.4527	44.4317	2894.24	40670.7412	40.6693	44.3779	44.3892	2044.08	45447.12	40.5902	44.1339	44.2393	1293.71	46506.5587	40.673	44.2079	44.2915	1278.53	45787.4737	40.2854	44.0271	44.1239	990.73	46365.0412	40.3118	44.0571	44.1482	973.63	
