Params	Time Savings	BD-BR Inc	RDCCOst
AMP=0_BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=3_SearchRange=0_TestRect=3_refs=2	0.6524	1.2762	1.9562
BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=3_SearchRange=0_TestRect=3_refs=2	0.6103	1.2763	2.0912
BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=1_SearchRange=0_TestRect=3_refs=1	0.9016	2.1237	2.3556
AMP=0_BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=2_refs=1	0.8526	1.4031	1.6457
AMP=0_BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=3_refs=1	0.8420	1.3550	1.6092
AMP=0_BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=3_refs=3	0.8325	1.3516	1.6236
AMP=0_BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=3_refs=1	0.8112	1.3520	1.6668
AMP=0_BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=2_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=3_refs=1	0.8899	1.7760	1.9957
BipredSearchRange=0_FME=0_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=2_refs=1	0.8355	1.4043	1.6809
AMP=0_BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=3_SearchRange=0_refs=1	0.6576	1.2763	1.9408
AMP=0_BipredSearchRange=0_FME=2_HadamardME=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=2_refs=1	0.8286	1.4017	1.6918
