Params	Time Savings	BD-BR Inc	RDCCOst
BipredSearchRange=0_FME=0_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.6730	0.2036	0.3025
BipredSearchRange=2_FME=0_QuadtreeTUMaxDepthInter=2_TestRect=2	0.6315	0.1897	0.3003
BipredSearchRange=0_MaxPartitionDepth=3_QuadtreeTUMaxDepthInter=2_TestRect=2	0.5427	0.1739	0.3204
BipredSearchRange=0_FME=0_QuadtreeTUMaxDepthInter=2_TestRect=2	0.6473	0.2022	0.3124
BipredSearchRange=0_QuadtreeTUMaxDepthInter=1_SearchRange=0_TestRect=2	0.4656	0.1246	0.2676
BipredSearchRange=2_MaxPartitionDepth=2_QuadtreeTUMaxDepthInter=2_TestRect=2	0.7251	0.5514	0.7605
BipredSearchRange=2_MaxPartitionDepth=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.7354	0.5517	0.7502
BipredSearchRange=0_QuadtreeTUMaxDepthInter=2_SearchRange=0_TestRect=2	0.4055	0.1146	0.2825
BipredSearchRange=0_FME=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2	0.5767	0.2409	0.4177
BipredSearchRange=0_FME=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.5151	0.2073	0.4024
BipredSearchRange=2_FME=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2	0.5614	0.2281	0.4063
BipredSearchRange=2_FME=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.5014	0.1840	0.3671
BipredSearchRange=0_FME=2_QuadtreeTUMaxDepthInter=2_TestRect=2	0.4877	0.2161	0.4432
BipredSearchRange=2_FME=2_QuadtreeTUMaxDepthInter=2_TestRect=2	0.4729	0.1923	0.4066
BipredSearchRange=0_MaxPartitionDepth=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2	0.7539	0.6576	0.8722
BipredSearchRange=2_MaxPartitionDepth=2_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2	0.7498	0.6556	0.8744
BipredSearchRange=0_MaxPartitionDepth=2_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.7399	0.5597	0.7565
BipredSearchRange=0_MaxPartitionDepth=2_QuadtreeTUMaxDepthInter=2_TestRect=2	0.7296	0.5565	0.7627
BipredSearchRange=2_MaxPartitionDepth=1_QuadtreeTUMaxDepthInter=2_TestRect=2	0.8538	1.2983	1.5206
BipredSearchRange=2_MaxPartitionDepth=1_QuadtreeTUMaxDepthInter=2_SearchRange=8_TestRect=2	0.8603	1.2985	1.5092
BipredSearchRange=2_MaxPartitionDepth=1_QuadtreeTUMaxDepthInter=1_SearchRange=8_TestRect=2	0.8604	1.2985	1.5091
